Description,G1_vertices,G1_edges,G1_density,G2_vertices,G2_edges,G2_density,Exact_result,Exact_elapsed_ms,Exact_distance,GVF2_1_result,GVF2_1_elapsed_ms,GVF2_1_distance,GVF2_10_result,GVF2_10_elapsed_ms,GVF2_10_distance,GVF2_100_result,GVF2_100_elapsed_ms,GVF2_100_distance,GVF2_500_result,GVF2_500_elapsed_ms,GVF2_500_distance
C5_C5_directed-undirected,5,5,1,5,10,2,Success,14.0423,0.6,Success,8.9154,0.6,Success,0.0944,0.6,Success,0.5305,0.6,Success,3.0729,0.6
G8_G5_subgraph5,8,33,4.125,5,14,2.8,Success,14.9873,0.375,Success,0.7332,0.75,Success,0.1376,0.375,Success,0.584,0.375,Success,3.2158,0.375
C5_C5_both-undirected,5,10,2,5,10,2,Success,0.2215,0,Success,0.0571,0,Success,0.111,0,Success,0.6499,0,Success,5.1943,0
G8_G5_subgraph4,8,33,4.125,5,14,2.8,Success,5.6278,0.5,Success,0.0615,0.5,Success,0.0995,0.5,Success,0.6057,0.5,Success,3.224,0.5
G8_G5_subgraph5-with-swapped-verticles,8,33,4.125,5,14,2.8,Success,12.2029,0.375,Success,0.0493,0.375,Success,0.1586,0.375,Success,0.7599,0.375,Success,3.1554,0.375
C5_C6_both-undirected,5,10,2,6,12,2,Success,1.076,0.33333333333333337,Success,0.055,0.33333333333333337,Success,0.1632,0.33333333333333337,Success,0.6404,0.33333333333333337,Success,3.6238,0.33333333333333337
G5_G5_subgraph5_the-same-graphs,5,14,2.8,5,14,2.8,Success,0.3064,0,Success,0.0554,0,Success,0.0944,0,Success,0.6341,0,Success,2.8328,0
K5_G5_isolated,5,20,4,5,0,0,Success,0.1232,0.8,Success,0.0177,0.8,Success,0.0579,0.8,Success,0.5013,0.8,Success,2.1417,0.8
G9_G10_random,9,8,0.8888888888888888,10,9,0.9,Timeout,30000,-1,Success,0.0539,0.6,Success,0.1492,0.4,Success,1.0698,0.30000000000000004,Success,5.0011,0.30000000000000004
G35_G40_random,35,62,1.7714285714285714,40,81,2.025,Timeout,30000,-1,Success,0.1321,0.6,Success,0.683,0.6,Success,7.0253,0.55,Success,34.5583,0.525
G5_G5_with_and_without_loops,5,15,3,5,10,2,Success,0.0929,1,Success,0.0156,1,Success,0.0491,1,Success,0.3257,1,Success,1.7063,1
